loc_id,team_location,state_code,lat,lon,football_location
1,Akron,OH,41.083064,-81.518485,Akron
2,Glendale,AR,33.548264,-112.191696,Arizona
3,Atlanta,GA,33.7489924,-84.3902644,Atlanta
4,Baltimore,MD,39.2908816,-76.610759,Baltimore
5,Birmingham,AL,33.5206824,-86.8024326,Birmingham
6,Boston,MA,42.3554334,-71.060511,Boston
7,Brooklyn,NY,40.6526006,-73.9497211,Brooklyn
8,Buffalo,NY,42.8867166,-78.8783922,Buffalo
9,Canton,OH,40.7985464,-81.3749508,Canton
10,Charlotte,NC,35.2272086,-80.8430827,Carolina
11,Chicago,IL,41.8755616,-87.6244212,Chicago
12,Cincinnati,OH,39.1014537,-84.5124602,Cincinnati
13,Cleveland,OH,41.4996574,-81.6936772,Cleveland
14,Columbus,OH,39.9622601,-83.0007065,Columbus
15,Dallas,TX,32.7762719,-96.7968559,Dallas
16,Dayton,OH,39.7589478,-84.1916069,Dayton
17,Decatur,GA,33.7737582,-84.296069,Decatur
18,Denver,CO,39.7392364,-104.984862,Denver
19,Detroit,MI,42.3315509,-83.0466403,Detroit
20,Duluth,MN,46.7729322,-92.1251218,Duluth
21,Evansville,IN,37.9747645,-87.5558483,Evansville
22,Frankford,PA,40.0281674,-75.084896,Frankford
23,Green Bay,WI,44.5126379,-88.0125794,Green Bay
24,Hammond,IN,41.5833658,-87.500043,Hammond
25,Hartford,CT,41.764582,-72.6908547,Hartford
26,Houston,TX,29.7589382,-95.3676974,Houston
27,Indianapolis,IN,39.7683331,-86.1583502,Indianapolis
28,Jacksonville,FL,30.3321838,-81.655651,Jacksonville
29,Kansas City,KS,39.1134562,-94.626497,Kansas City
30,Kenosha,WI,42.5846773,-87.8212263,Kenosha
31,Las Vegas,NV,36.1672559,-115.148516,Las Vegas
32,Los Angeles,CA,34.0536909,-118.242766,Los Angeles
33,Louisville,KY,38.2542376,-85.759407,Louisville
34,Memphis,TN,35.1335022,-89.9668758,Memphis
35,Miami,FL,25.7741728,-80.19362,Miami
36,Pontiac,MI,42.638924,-83.291046,Michigan
37,Milwaukee,WI,43.0349931,-87.922497,Milwaukee
38,Minneapolis,MN,44.9772995,-93.2654692,Minneapolis
39,Minnesota,MN,44.9772995,-93.2654692,Minnesota
40,Muncie,IN,40.1936892,-85.3865271,Muncie
41,Newark,NJ,40.735657,-74.1723667,Newark
42,Foxborough,MA,42.0653768,-71.2478308,New England
43,New Jersey,NJ,40.735657,-74.1723667,New Jersey
44,Newark,NJ,40.735657,-74.1723667,New York
45,New Orleans,LA,29.9759983,-90.0782127,New Orleans
46,New York,NY,49.73061,-73.935242,New York
47,Oakland,CA,37.8044557,-122.271356,Oakland
48,Tulsa,OK,36.154,-95.9928,Oklahoma
49,La Rue,OH,40.5764456,-83.3846442,Oorang
50,Orange,NJ,40.7706,-74.2326,Orange
51,Orlando,FL,28.5421109,-81.3790304,Orlando
52,Philadelphia,PA,39.9527237,-75.1635262,Philadelphia
53,Phoenix,AR,-33.8748031,18.5063443,Phoenix
54,Pittsburgh,PA,40.4416941,-79.9900861,Pittsburgh
55,Portland,OR,45.5152,-122.676483,Portland
56,Portsmouth,OH,38.7316375,-82.9965441,Portsmouth
57,Pottsville,PA,40.6851324,-76.1953701,Pottsville
58,Providence,RI,41.8239891,-71.4128343,Providence
59,Racine,IL,48.1868331,-1.1516369,Racine
60,Rochester,NY,43.157285,-77.615214,Rochester
61,Rock Island,IL,41.5095446,-90.5792031,Rock Island
62,San Antonio,TX,29.4246002,-98.4951405,San Antonio
63,San Diego,CA,32.7174202,-117.1627728,San Diego
64,San Francisco,CA,37.7790262,-122.419906,San Francisco
65,Seattle,WA,47.6038321,-122.330062,Seattle
66,Staten Island,NY,40.5834557,-74.1496048,Staten Island
67,St. Louis,MO,38.6319657,-90.2428756,St. Louis
68,Tampa,FL,27.9477595,-82.458444,Tampa Bay
69,Nashville,TN,36.1627,-86.76796,Tennessee
70,Toledo,OH,41.6529143,-83.5378173,Toledo
71,Tonawanda,NY,43.020679,-78.878383,Tonawanda
72,Washington,DC,38.8950368,-77.0365427,Washington